high_school,high_school_name,zip,county,students_9_to_12,ec_own_ses_hs,ec_own_ses_se_hs,ec_parent_ses_hs,ec_parent_ses_se_hs,ec_high_own_ses_hs,ec_high_own_ses_se_hs,ec_high_parent_ses_hs,ec_high_parent_ses_se_hs,exposure_own_ses_hs,exposure_parent_ses_hs,bias_own_ses_hs,bias_parent_ses_hs,bias_high_own_ses_hs,bias_high_parent_ses_hs,clustering_hs,volunteering_rate_hs
00000044,Holy Spirit Catholic School,35405,1125,158,,,,,,,,,,,,,,,.69314241,.086806543
00000226,John Carroll Catholic HS,35209,1073,538,1.5290101,.042199999,1.43847,.050730001,1.64439,.03057,1.46086,.047419999,1.5070699,1.44259,-.01456,.00285,-.091119997,-.01266,.60457999,.069540001
00000237,Holy Family Cristo Rey Catholic HS,35218,1073,229,.66359001,.071050003,,,.87627,.094049998,,,.65517002,,-.01286,,-.33747,,.68686002,.051010001
00000714,Montgomery Catholic Preparatory School,36116,1101,363,1.56551,.05799,,,1.6089799,.047979999,,,1.49,,-.05068,,-.079850003,,.67373002,.04228
00000758,St Paul's Episcopal School,36608,1097,409,1.62628,.045329999,1.57592,.052540001,1.7272201,.033179998,1.60072,.0473,1.62275,1.57514,-.00217,-.00050000002,-.064379998,-.016240001,.62329,.06061
00000827,Marengo Academy HS,36748,1091,68,,,,,,,,,,,,,,,.74017578,.030695481
00000871,John T Morgan Academy,36701,1047,158,,,,,,,,,,,,,,,.75766027,.082028814
00000882,Jefferson Christian Academy,35210,1073,55,,,,,,,,,,,,,,,.75705194,.057458606
00000962,Glenwood School,36877,1081,226,,,,,,,,,,,,,,,.7378481,.063247383
00000973,Mars Hill Bible School,35630,1077,149,,,1.25137,.07683,,,1.22904,.076350003,,1.2443399,,-.0056500002,,.0123,.73417002,.063320003
00000995,Lowndes Academy,36752,1085,100,,,,,,,,,,,,,,,.76881438,.027265623
00001026,Abbeville Christian Academy,36310,1067,83,,,,,,,,,,,,,,,.75874209,.007322357
00001332,The Donoho School,36207,1015,134,,,,,,,,,,,,,,,.773458,.097026102
00001401,Indian Springs School,35124,1117,261,,,,,,,,,,,,,,,.75414932,.15043345
00001412,Westminster Christian Academy,35806,1089,295,1.58318,.061140001,,,1.6078,.052189998,,,1.51263,,-.046640001,,-.062919997,,.67264998,.051600002
00001445,Athens Bible School,35611,1083,99,,,,,,,,,,,,,,,.73923713,.019370817
00001503,Houston Academy,36303,1069,258,,,,,,,,,,,,,,,.74262971,.045958817
00001558,Tuscaloosa Academy,35406,1125,150,,,,,,,,,,,,,,,.75274801,.059380457
00001605,Randolph School,35802,1089,346,,,,,,,,,,,,,,,.6793102,.085864574
00001616,The Altamont School,35222,1073,192,,,,,,,,,,,,,,,.7260083,.12312632
00001693,Chambers Academy,36862,1017,71,,,,,,,,,,,,,,,.74533343,.012030127
00001864,Edgewood Academy,36025,1051,109,,,,,,,,,,,,,,,.70610315,.030679716
00001897,Fort Dale Academy,36037,1013,140,1.48321,.071929999,,,1.56596,.06256,,,1.4212,,-.04363,,-.10186,,.73655999,.02813
00001944,Decatur Heritage Christian Academy,35603,1103,126,,,,,,,,,,,,,,,.75464863,.046889827
00002063,Hooper Academy,36043,1101,113,1.3126,.073820002,,,1.38341,.065810002,,,1.25401,,-.046720002,,-.10319,,.73221999,.02966
00002198,Meadowview Christian School,36701,1047,69,,,,,,,,,,,,,,,.7572192,.18038514
00002201,Monroe Academy,36460,1099,117,1.4022501,.078819998,,,1.50176,.070200004,,,1.34372,,-.043559998,,-.11762,,.77614999,.04831
00002278,Pickens Academy,35447,1107,88,,,,,,,,,,,,,,,.81097788,.04508251
00002289,Pike Liberal Arts School,36081,1109,151,,,,,,,,,,,,,,,.7310186,.018625382
00002358,Southern Academy,36744,1065,67,,,,,,,,,,,,,,,.8045646,.021521719
00002391,Sparta Academy,36401,1035,68,1.05641,.099930003,,,1.20437,.093189999,,,.98738003,,-.069909997,,-.21976,,.73773003,.018549999
00002405,Springwood School,36863,1017,125,,,,,,,,,,,,,,,.76770949,.036371697
00002722,Autauga Academy,36067,1001,122,,,,,,,,,,,,,,,.70270473,.034809697
00002788,Alabama Christian Academy,36109,1101,326,1.64665,.044939999,1.50565,.05116,1.68668,.036669999,1.53803,.049059998,1.54599,1.46984,-.065109998,-.024359999,-.090999998,-.046390001,.60773998,.032639999
00002802,Emmanuel Christian School,36305,1069,112,,,,,,,,,,,,,,,.71358299,.037510246
00003001,Lee-Scott Academy,36830,1081,221,1.4977,.073100001,,,1.60316,.057179999,,,1.4309601,,-.046640001,,-.12034,,.67360997,.01297
00023866,Anchorage Christian Schools,99504,2020,123,,,,,,,,,,,,,,,.64569539,.05855326
00030942,Salpointe Catholic HS,85719,4019,1171,1.6600699,.036290001,1.42024,.04507,1.73684,.024320001,1.4561599,.04267,1.61536,1.4469301,-.02768,.018449999,-.075209998,-.0063700001,.51805001,.044629999
00031265,Xavier College Preparatory,85012,4013,1187,1.76578,.036940001,1.66583,.046080001,1.86656,.019060001,1.6695,.036359999,1.75509,1.63538,-.0060999999,-.018619999,-.063510001,-.02086,.52350998,.079400003
00031301,St Marys HS,85004,4013,535,1.39812,.049729999,1.1579,.069430001,1.54662,.040649999,1.17408,.068709999,1.36173,1.10136,-.02672,-.051339999,-.13578001,-.066030003,.54787999,.044
00031414,Brophy College Preparatory,85012,4013,1328,1.80031,.044810001,1.54425,.043140002,1.85445,.02279,1.63062,.038240001,1.77457,1.56302,-.01451,.01201,-.045019999,-.043249998,.50770003,.034809999
00031425,Bourgade Catholic HS,85017,4013,392,1.35358,.05655,1.2205499,.075379997,1.51116,.04693,1.23786,.073320001,1.32007,1.23183,-.02538,.0091599999,-.14476,-.00489,.60781997,.044300001
00031491,Seton Catholic Preparatory HS,85224,4013,595,1.72372,.049899999,,,1.79838,.031580001,,,1.69199,,-.018759999,,-.062880002,,.60215002,.062010001
00031731,Phoenix Christian Preparatory School,85015,4013,220,1.56836,.089570001,,,1.68206,.055520002,,,1.49936,,-.046020001,,-.12185,,.61506999,.040150002
00032101,The Orme School,86333,4025,116,,,,,,,,,,,,,,,.73517603,.12303124
00032145,Phoenix Country Day School,85253,4013,277,,,,,,,,,,,,,,,.70527172,.097997166
00032156,Verde Valley School,86351,4025,120,,,,,,,,,,,,,,,.74304891,.12558798
00032677,Scottsdale Christian Academy,85032,4013,229,,,,,,,,,,,,,,,.65482777,.036643054
00032859,Tri-City Christian Academy,85286,4013,104,,,,,,,,,,,,,,,.7294606,.028592762
00047708,Subiaco Academy,72865,5083,159,,,,,,,,,,,,,,,.70657629,.04227069
00047854,Catholic HS For Boys,72205,5119,772,1.48954,.04411,1.5035501,.056650002,1.52026,.039500002,1.53504,.05201,1.43814,1.50492,-.035739999,.00091,-.057100002,-.02001,.523,.056170002
00047978,Mt St Mary Academy,72205,5119,496,1.57706,.043019999,1.50711,.053739998,1.61632,.036219999,1.53997,.052420001,1.54171,1.48949,-.02293,-.01183,-.0484,-.033890001,.56418997,.11603
